inegi,av_precipt_2021,log_pop_mx,pop_density_mx,pct_religious_mx,pct_urban_mx,pct_catholic_mx,pct_indiglang_mx,pct_healthins_mx,pct_healthins_informal_mx,pct_tertiaryemp_mx,pct_informal_mx,pct_over65_mx,pct_extreme_poverty_mx,social_backwardness_mx,gini_mx,tuberc_cases_rate,influenza_cases_rate,elxn_soon_mx,irag_rate_mun,inf_rate_mun,pct_obesity_lq,pct_obesity_hq,pct_hypertension_lq,pct_hypertension_hq,pct_diabetes_lq,pct_diabetes_hq,gdp_percapita_municipal_2020,health_capacity_mx_mun,healthcare_expenditure_19,healthcare_expenditure_20,avg_homicide_rate,hospBeds_rate_mun,infant_mort_mun,leader_experience_mun_mx,medical_staff_rate,nurses_rate_mun,state_capacity,elxn_margin_mx,party_mis_fed_mun_mx,party_mis_state_mun_mx,party_exec_right_mun_mx,women_exec_mun_mx,women_leg_mun_mx
28030,47.287488932410874,9.51384657977485,10.076898437736077,94.73431113248375,51.5485787017395,75.37068205498116,0.062015503875969,29.056548058467445,92.27816329543776,13.83434224125203,68.24612620705143,13.162557212461245,7.2042683426,-0.726893,0.378332,0,0,0,0,0,45.877480654456,45.877480654456,20.460984640171947,20.460984640171947,13.897616677817664,13.897616677817664,6.97,7.382253063635022,NA,NA,91.055955353209,0,4.46,517,1.428182807399347,1.1561479869423286,50,17.23,0,0,1,0,42.86
28031,47.96665632724762,7.555905093611346,4.0270296500874725,88.22525597269625,NA,77.0193401592719,0.05515719801434087,9.46652719665272,92.8347280334728,13.755230125523012,85.45150501672241,15.847280334728032,7.3567596567,-0.02303299999999999,0.386968,0,0,0,0,0,42.64668845731838,42.64668845731838,25.54024748160441,25.54024748160441,13.980610214732696,13.980610214732696,0.59,52.30125523012552,NA,NA,41.731872717788214,0,166.67,517,2.190580503833516,3.285870755750274,305,13.48,0,0,1,1,42.86
28032,28.41343992591923,13.462671106255064,225.392245534137,81.31243054650203,98.3560037427627,59.93627350554696,1.5314240552276628,68.39146707652023,83.11659479998292,21.70430773171669,23.979329133003173,5.916122329903656,2.1467609676,-1.165953,0.375064,2.9797081872448627,0,0,0,0,42.10616786875086,42.10616786875086,15.2446537734611,15.2446537734611,13.687712607773523,13.687712607773523,13.61,3.1308258264668627,NA,NA,30.080863604567185,1.109586572583563,12.85,517,0.6551545944004157,1.011440913153001,305,25.48,0,0,1,1,56.52
28033,35.75436331923046,11.793454515449673,84.38398161773907,85.67564001055688,92.89758332782588,62.687219583003426,0.6721647518710969,50.31537281977293,70.84293300499309,17.039952259731233,41.03694279093016,7.82955515436272,6.5021807907,-0.963249,0.388752,2.2644243833217597,0,0,0,0,48.53780367847266,48.53780367847266,19.159498696083972,19.159498696083972,12.935417224056105,12.935417224056105,12.5,6.0430719956489884,NA,NA,20.530781075450623,0.30192325110956797,5.1,517,0.7651573117978167,0.7272782369563405,228,15.97,0,0,1,0,55
28034,45.845298608757815,8.910450756416656,2.5688315084287128,91.64244186046513,NA,72.74709302325581,NA,15.116749898771763,90.7949790794979,6.438115805101903,77.18223583460949,17.43825077608314,16.5899958431,0.242632,0.384008,0,0,0,0,0,39.79087686614223,39.79087686614223,22.23404463896243,22.23404463896243,16.490745385488893,16.490745385488893,2.94,13.497098123903362,NA,NA,102.55026312238564,1.4842801241397925,0,517,0.9573449633017764,0.8509733007126902,137,23.15,0,1,0,NA,57.14
28035,5.067263659724484,10.847276713112093,7.5055628281124225,89.99936220422221,74.06769936890419,66.3711546229564,0.235347085789129,24.619605401408727,87.56080476320193,18.978869128692068,68.83867276887872,10.197688446122116,10.5476361256,-0.377312,0.403371,0,0,0,0,0,46.41563094805918,46.41563094805918,19.48140390043973,19.48140390043973,14.110449052753822,14.110449052753822,4.78,19.45752422461766,NA,NA,26.845637583892614,0.7197743410174108,3.43,517,1.5059986124507168,1.9121105978306856,109,1.43,0,0,1,0,57.14
28040,37.67924516128771,11.002782941171654,67.36814661990732,89.34601062868299,95.0070745101801,69.74621307978742,0.2464819508784197,40.204193800902715,85.39498009693376,25.081194517079997,53.22396808597249,10.321280458353458,3.3082286251,-0.949287,0.380539,0,0,0,0,0,44.09347920445795,44.09347920445795,20.810656661445098,20.810656661445098,14.936046230755757,14.936046230755757,10.26,6.662114221948335,NA,NA,15.31929065023728,0.38298226625593207,3.64,517,1.7735999645280007,2.1430999571380007,220,2.24,0,0,1,0,50
28041,51.857158180914425,12.760305399472,240.4686475924769,89.9387486831433,95.07425199346486,71.23208064912102,0.2090337363055911,60.37613358573599,87.9447088799584,34.69454586192732,31.113757572619477,8.095461060952944,2.7396564771,-1.25776,0.400547,1.7158152410148473,0.8579076205074236,0,0,0,46.164019158727925,46.164019158727925,18.90521208092429,18.90521208092429,13.019756608550663,13.019756608550663,12.19,7.181411061096573,NA,113.58,66.45924366864176,1.638603555169179,14.03,517,2.648682397401376,4.607002093091697,164,7.55,0,0,1,0,52.17
28042,47.01254182126787,8.586905803827538,4.20586012995153,97.21714401787528,NA,80.29656713386146,0.11673151750972764,22.495803021824287,90.46819623204628,10.72561089349002,73.48703170028818,19.082260772243984,9.487154908,-0.194795,0.38721,0,0,0,0,0,46.40324622477046,46.40324622477046,24.5990596775045,24.5990596775045,15.929908792818608,15.929908792818608,2.32,37.30647267300877,NA,NA,14.922589069203507,0,0,517,0.7647598654022637,0.7647598654022637,126,55.58,0,0,1,0,57.14
28043,64.50206415520773,10.00915302169091,25.80726002658011,90.5989093190483,43.44900629244284,77.19704647459099,0.15460295151089248,64.37536551351837,90.638355301633,17.823563813037026,36.45647785298658,12.245265194115795,2.2811169101,-0.817117,0.405159,0,0,0,0,0,46.10322940767233,46.10322940767233,23.64749017865873,23.64749017865873,14.877922752457955,14.877922752457955,11.07,17.99451167393945,NA,NA,11.696432588060642,0,345.24,517,0.3601872973946452,0.6003121623244088,129,19.2,0,0,1,1,42.86
29001,67.58605549732845,9.341193180394946,1026.365655225115,92.51700680272108,91.97928508273336,80.00755857898714,1.032151991231275,45.44656957360941,74.4341112475873,28.627829443762064,53.55490113588557,8.527811896824005,5.7239538461,-1.020085,0.391295,0,0,0,0,0,31.460432440352353,31.460432440352353,12.835886919178664,NA,6.953293950823653,6.953293950823653,12.11,8.773469029654326,0.7,13.93,7.01569762343243,0,500,1155,0.8445945945945945,0.33783783783783783,66,49.77,0,1,0,0,57.14
29002,67.54538089036942,9.664976524090797,1364.0061211895645,93.57553366174056,92.93925952747352,87.52052545155993,0.8010592519033433,45.66514343742066,72.34069560802234,31.207159177456205,52.251353662011965,7.965219598882965,5.8161326392,-1.099618,0.396197,0,0,0,0,0,35.42073795218895,35.42073795218895,13.70507596041539,13.70507596041539,8.33590929511137,8.33590929511137,9.21,6.346788525006348,0.54,40.95,12.497656689370745,6.248828344685371,20.01,1155,11.0627719080174,22.62274704785581,152,46.79,0,1,0,0,42.86
29003,61.41735798617204,8.85879510585745,65.45190119933415,95.24256651017214,NA,89.53051643192488,0.31324582338902146,17.35361000568505,88.3882888004548,11.611711199545196,78.06476484194295,7.888004548038659,6.0079433853,-0.458018,0.327648,0,0,0,0,0,32.04875303670287,32.04875303670287,14.31565779306054,14.31565779306054,7.652479060152596,7.652479060152596,3.31,14.212620807276862,3.61,14.29,14.110342881332016,0,55.56,1155,1.0057471264367814,1.0057471264367814,63,41.25,0,0,0,0,50
29004,55.96446587216286,9.802340370531171,95.7802333262905,94.90131578947368,37.12887989203779,92.03825536062378,0.13466830610691494,13.443239654790885,71.91303385704802,11.429519805266652,79.50453694368429,8.751936269086082,15.0567301812,-0.228582,0.360836,0,0,0,0,0,33.06676642960761,33.06676642960761,13.217629020698396,13.217629020698396,9.17338605464376,9.17338605464376,3.62,0,1.52,8.34,9.938711280437303,0,129.85,1155,1.0891466535969068,1.4158906496759789,79,25.23,0,0,0,0,42.86
